split,method,n,loss,mae
validation,full_multimodal,1506,0.06424713134765625,0.028422045228225726
validation,text_only,1506,0.06925580650568008,0.0316732580876478
validation,financial_only,1506,0.07056184858083725,0.030952239845617558
validation,sentiment_only,1506,0.06597211211919785,0.028360018011330267
calibration,full_multimodal,1517,0.0688571035861969,0.031535482064011175
calibration,text_only,1517,0.07229802012443542,0.03414320327117877
calibration,financial_only,1517,0.07589910179376602,0.034983482416336836
calibration,sentiment_only,1517,0.06956707686185837,0.031056594079924293
test,full_multimodal,713,0.06539088487625122,0.029433622056567556
test,text_only,713,0.07027202844619751,0.032662931835834165
test,financial_only,713,0.07557602226734161,0.03497796761344117
test,sentiment_only,713,0.0674533098936081,0.029429825734309387
