method,coverage_80,coverage_85,coverage_90,coverage_95,avg_width,avg_width_80,avg_width_85,avg_width_90,avg_width_95,MAE,RMSE,dir_acc,avg_explanation_confidence,avg_predicted_variance_proxy,avg_variance_weighted_explanation_error,subgroup_type,subgroup,n
text_only,0.2244039270687237,0.6016830294530154,0.8499298737727911,0.9873772791023843,0.270696481359668,0.0446925412779896,0.2588448107156375,0.30435731171579383,0.4748912617292511,0.030896428551334336,0.046542800270554116,0.48667601683029454,0.9000000000000002,0.02329625873438833,0.28281381892657614,attention_volume_band,medium_attention,713
text_only,0.3392857142857143,0.625,0.7857142857142857,0.9642857142857143,0.2705569491788213,0.04380498919636011,0.26549425973956076,0.30727969549064127,0.465648852288723,0.031269121369405184,0.04792182404254607,0.5357142857142857,0.9000000000000001,0.02375002842815967,0.28303835754919887,surprise_band,high_surprise,56
text_only,0.2135523613963039,0.6036960985626283,0.8706365503080082,0.9938398357289527,0.2704191536664603,0.04464489906200148,0.25676833590572923,0.3024075276292937,0.47785585206881687,0.029398603216825997,0.04405527541717004,0.47433264887063653,0.9000000000000004,0.02299531884402135,0.27162878045273325,surprise_band,low_surprise,487
text_only,0.21764705882352942,0.5882352941176471,0.8117647058823529,0.9764705882352941,0.27153690717566537,0.04512139231185703,0.26260289358084693,0.3089802020612885,0.4694431407486691,0.035064488198943713,0.05262057077734463,0.5058823529411764,0.9000000000000004,0.024008885932962024,0.31478169877301526,surprise_band,medium_surprise,170
text_only,0.1957547169811321,0.5707547169811321,0.8254716981132075,0.9834905660377359,0.2695914159670586,0.043252809056660756,0.25881237983659683,0.3021277516184129,0.4741727233565641,0.03037423006993914,0.04412393024830694,0.5,0.9000000000000001,0.02295645190076056,0.28030220266217776,volatility_band,high_vol,424
text_only,0.2664359861591695,0.6470588235294118,0.8858131487889274,0.9930795847750865,0.2723177537695862,0.046804812772257516,0.25889239096724037,0.30762836182406206,0.475945449514785,0.031662560579402026,0.049879751657417946,0.4671280276816609,0.9000000000000001,0.023794798864001397,0.2864986815428562,volatility_band,low_vol,289
financial_only,0.2131837307152875,0.605890603085554,0.9747545582047685,0.9971949509116409,0.3795883080152713,0.08777091040590786,0.1938127029196034,0.4405535420645838,0.7962160766709904,0.03508132072115401,0.04970720195970452,0.511921458625526,0.9000000000000002,0.051605082590525986,0.23077100486633262,attention_volume_band,medium_attention,713
financial_only,0.35714285714285715,0.7678571428571429,1.0,1.0,0.4285108618621182,0.12032563714975757,0.25590776971408297,0.5054946181231311,0.8323154224615011,0.043328025741045294,0.060275604678590715,0.6071428571428571,0.9000000000000001,0.06764246968226506,0.22448687317271018,surprise_band,high_surprise,56
financial_only,0.17659137577002054,0.5975359342915811,0.9753593429158111,0.9958932238193019,0.37455798773423943,0.08369898231933372,0.1863600259811237,0.4335437337858354,0.7946292088506648,0.0326275718375384,0.04551565517710739,0.5051334702258727,0.9000000000000004,0.04992302670724807,0.22027026252064907,surprise_band,low_surprise,487
financial_only,0.27058823529411763,0.5764705882352941,0.9647058823529412,1.0,0.3778830313178546,0.08871187676182564,0.19470758485224318,0.43924222660853585,0.7888704370488139,0.03939402792825336,0.056844610111604396,0.5,0.9000000000000004,0.051140773990637475,0.2629226101439251,surprise_band,medium_surprise,170
financial_only,0.28773584905660377,0.6816037735849056,0.9764150943396226,0.9976415094339622,0.3662412821618348,0.09591418328993725,0.20787509406020618,0.40460870723363085,0.756567144063565,0.034690530304256104,0.048185700196872794,0.5306603773584906,0.9000000000000001,0.043639468411364755,0.24280820718633753,volatility_band,high_vol,424
financial_only,0.10380622837370242,0.49480968858131485,0.972318339100346,0.9965397923875432,0.3991701037310399,0.07582368652068826,0.17318137474100276,0.49328921669546294,0.8543861369670056,0.03565466029473434,0.05185871355019102,0.4844290657439446,0.9000000000000001,0.06329165841047187,0.2131108879677786,volatility_band,low_vol,289
sentiment_only,0.9004207573632539,0.9873772791023843,1.0,1.0,0.5416042022407055,0.17457370460033417,0.30751195549964905,0.7451083064079285,0.9392228424549103,0.03192262697226004,0.04692750559595276,0.4684431977559607,0.9000000000000002,0.13879659706952285,0.11996021887507036,attention_volume_band,medium_attention,713
sentiment_only,0.8571428571428571,0.9821428571428571,1.0,1.0,0.5416042022407055,0.17457370460033417,0.30751195549964905,0.7451083064079285,0.9392228424549103,0.03418582678360898,0.05063563530342011,0.42857142857142855,0.9000000000000001,0.13879659706952285,0.12846496834206625,surprise_band,high_surprise,56
sentiment_only,0.9137577002053389,0.9917864476386037,1.0,1.0,0.5416042022407055,0.17457370460033417,0.30751195549964905,0.7451083064079285,0.9392228424549103,0.03023642716970313,0.04403554467776669,0.4722792607802875,0.9000000000000004,0.13879659706952283,0.11362374482618959,surprise_band,low_surprise,487
sentiment_only,0.8764705882352941,0.9764705882352941,1.0,1.0,0.5416042022407055,0.17457370460033417,0.30751195549964905,0.7451083064079285,0.9392228424549103,0.036007568821728723,0.05325984723516514,0.47058823529411764,0.9000000000000004,0.13879659706952285,0.13531078882597142,surprise_band,medium_surprise,170
