method,coverage_80,coverage_90,coverage_95,avg_width,avg_width_80,avg_width_90,avg_width_95,cal_error_80,cal_error_90,cal_error_95,calibration_error,MAE,RMSE,dir_acc,avg_explanation_confidence,avg_predicted_variance_proxy,avg_variance_weighted_explanation_error,interval_scale_80,interval_scale_90,interval_scale_95,subgroup_type,subgroup,n
text_only,0.15007012622720897,0.4908835904628331,0.9607293127629734,0.1324911931091628,0.024902090221267263,0.12571487316618796,0.24685661594003314,0.6499298737727911,0.40911640953716694,0.010729312762973398,0.3565918653576438,0.03544545022478581,0.04947765913699917,0.4684431977559607,0.4851314622894686,0.004038688178691413,0.0003123722676175373,1.0,1.0,1.0,attention_volume_band,medium_attention,713
text_only,0.21428571428571427,0.5714285714285714,0.9107142857142857,0.13385294147190593,0.02541537389957479,0.1348087091131934,0.2413347414029496,0.5857142857142857,0.3285714285714286,0.03928571428571426,0.3178571428571429,0.03725364897919852,0.053755493859005514,0.42857142857142855,0.4899921848870029,0.004654731513209718,0.00036625769668581986,1.0,1.0,1.0,surprise_band,high_surprise,56
text_only,0.14989733059548255,0.4702258726899384,0.971252566735113,0.13270007207234946,0.025139153730391967,0.12404157538770161,0.24891948709895478,0.6501026694045176,0.42977412731006165,0.021252566735113,0.36704312114989746,0.03365822250041532,0.046054179258525466,0.4722792607802875,0.4850284158274032,0.003926729336935121,0.00028985003822461263,1.0,1.0,1.0,surprise_band,low_surprise,487
text_only,0.12941176470588237,0.5235294117647059,0.9470588235294117,0.13144424038336558,0.02405389130992048,0.12751276260789704,0.24276606723227923,0.6705882352941177,0.3764705882352941,0.002941176470588225,0.35000000000000003,0.03996969005726415,0.05691635656642631,0.47058823529411764,0.4838254808869031,0.004156485409293112,0.0003591413363618345,1.0,1.0,1.0,surprise_band,medium_surprise,170
text_only,0.13443396226415094,0.46462264150943394,0.9693396226415094,0.13216865358803911,0.023812661061660863,0.12564654062273647,0.24704675907972004,0.6655660377358491,0.4353773584905661,0.019339622641509457,0.3734276729559749,0.03603315304445579,0.04875541923111236,0.4339622641509434,0.483670933513394,0.0040357036875264965,0.0003220208448353678,1.0,1.0,1.0,volatility_band,high_vol,424
text_only,0.17301038062283736,0.5294117647058824,0.9480968858131488,0.13296439988063832,0.02650042227549949,0.12581512575588838,0.24657765161052708,0.6269896193771627,0.37058823529411766,0.0019031141868511847,0.33316032295271053,0.03458321494610044,0.05051859392197077,0.5190311418685121,0.48727424499208294,0.004043066809327829,0.0002982165695540075,1.0,1.0,1.0,volatility_band,low_vol,289
financial_only,0.3492286115007013,0.908835904628331,0.9873772791023843,0.3147875277369922,0.07072797899107026,0.3273410710622393,0.5462935331576669,0.45077138849929876,0.008835904628330948,0.03737727910238431,0.16566152407667134,0.037922315979899736,0.050586767810054306,0.5007012622720898,0.4851314622894686,0.028144116449125546,0.002201066208872138,1.0,1.0,1.0,attention_volume_band,medium_attention,713
financial_only,0.4642857142857143,0.8928571428571429,1.0,0.33678343276204986,0.13369225945124136,0.325168299023062,0.5514897398118462,0.33571428571428574,0.0071428571428571175,0.050000000000000044,0.13095238095238096,0.039383973840033705,0.052376758046514475,0.625,0.4899921848870029,0.027773351565430007,0.002314741119126005,1.0,1.0,1.0,surprise_band,high_surprise,56
financial_only,0.3613963039014374,0.919917864476386,0.9876796714579056,0.313954368287227,0.0631568384331936,0.3300636548728699,0.5486426115556174,0.43860369609856265,0.019917864476385994,0.03767967145790563,0.1654004106776181,0.03691238970662495,0.04804401035369834,0.48459958932238195,0.4850284158274032,0.028582538638108758,0.0021837960639606,1.0,1.0,1.0,surprise_band,low_surprise,487
financial_only,0.27647058823529413,0.8823529411764706,0.9823529411764705,0.3099285746230653,0.07167589514351944,0.32025740587645596,0.5378524228492204,0.5235294117647059,0.01764705882352946,0.032352941176470584,0.1911764705882353,0.04033397042058984,0.05671649438624905,0.5058823529411764,0.4838254808869031,0.0270103001400204,0.0022130942417998003,1.0,1.0,1.0,surprise_band,medium_surprise,170
