method,coverage_80,coverage_90,coverage_95,coverage_error_80,coverage_error_90,coverage_error_95,mean_abs_coverage_error,avg_width,avg_width_80,avg_width_90,avg_width_95,MAE,RMSE,dir_acc,test_year,train_years,calibration_year,n_test
market_return,0.7910349373764007,0.8727752142386289,0.9353988134475939,-0.008965062623599307,-0.027224785761371106,-0.014601186552406054,0.01693034497912549,0.13779516056867205,0.08066541530972982,0.13431180397445353,0.19840826242183285,0.030823340307615268,0.05181572039979084,0.5056031641397495,2024,"2021,2022",2023,1517
sector_return,0.7910349373764007,0.8727752142386289,0.9353988134475939,-0.008965062623599307,-0.027224785761371106,-0.014601186552406054,0.01693034497912549,0.13779516056867205,0.08066541530972982,0.13431180397445353,0.19840826242183285,0.030823340307615268,0.05181572039979084,0.5056031641397495,2024,"2021,2022",2023,1517
post_earnings_drift,0.7804878048780488,0.8773895847066578,0.932762030323006,-0.019512195121951237,-0.02261041529334218,-0.01723796967699398,0.019786860030762465,0.14722328020199152,0.08668139646346022,0.14647347216670997,0.20851497197580435,0.03345103768259965,0.05566250041526758,0.4884640738299275,2024,"2021,2022",2023,1517
analyst_surprise,0.7897165458141068,0.8694792353328938,0.932762030323006,-0.01028345418589327,-0.03052076466710618,-0.01723796967699398,0.019347396176664478,0.1374148943359038,0.08058200117557604,0.13470885855439563,0.19695382327773964,0.030901447988786666,0.05209381152261984,0.5056031641397495,2024,"2021,2022",2023,1517
implied_vol_only,0.7877389584706658,0.8721160184574819,0.9314436387607119,-0.012261041529334271,-0.027883981542518144,-0.018556361239288055,0.01956712810371349,0.13638742671279627,0.07995128464761213,0.13411446695104437,0.19509652853973233,0.03084089185146935,0.05185098979648884,0.5082399472643375,2024,"2021,2022",2023,1517
linear_ridge,0.7877389584706658,0.8694792353328938,0.928806855636124,-0.012261041529334271,-0.03052076466710618,-0.021193144363875982,0.021324983520105478,0.1353402713508035,0.08015100402793249,0.13331639273263526,0.1925534172918428,0.03102998873997553,0.05214612460580421,0.5062623599208965,2024,"2021,2022",2023,1517
ticker_fixed_effects,0.7870797626895187,0.8787079762689519,0.9294660514172709,-0.012920237310481308,-0.021292023731048104,-0.020533948582729056,0.01824873654141949,0.14118130273169208,0.08170866840217551,0.1441019703652025,0.19773326942769825,0.03191097024162946,0.05338138508061929,0.4871456822676335,2024,"2021,2022",2023,1517
xgboost_lightgbm_proxy,0.7719182597231378,0.8714568226763348,0.9235332893869479,-0.028081740276862277,-0.02854317732366518,-0.026466710613052058,0.027697209404526506,0.13760703987941772,0.08512817456442257,0.13580996792230615,0.19188297715152441,0.03285212295953971,0.05316380077504825,0.5003295978905735,2024,"2021,2022",2023,1517
market_return,0.7966339410939691,0.9270687237026648,0.9607293127629734,-0.003366058906030922,0.027068723702664776,0.010729312762973398,0.013721365123889698,0.15750578360305825,0.08572785976586648,0.16353341353435336,0.22325607750895493,0.02882906711626296,0.04553447376233823,0.5301542776998598,2025,"2021,2022,2023",2024,713
sector_return,0.7966339410939691,0.9270687237026648,0.9607293127629734,-0.003366058906030922,0.027068723702664776,0.010729312762973398,0.013721365123889698,0.15750578360305825,0.08572785976586648,0.16353341353435336,0.22325607750895493,0.02882906711626296,0.04553447376233823,0.5301542776998598,2025,"2021,2022,2023",2024,713
post_earnings_drift,0.7924263674614306,0.9172510518934082,0.9635343618513323,-0.007573632538569464,0.017251051893408142,0.013534361851332388,0.01278634876110333,0.16124871536865737,0.09015672865507163,0.1658124665709129,0.22777695087998762,0.030264409139111832,0.04692062216237717,0.4908835904628331,2025,"2021,2022,2023",2024,713
analyst_surprise,0.791023842917251,0.9200561009817672,0.9579242636746143,-0.008976157082749014,0.020056100981767133,0.007924263674614296,0.012318840579710147,0.15667960458051644,0.08436907340823079,0.1623573238331591,0.2233124165001594,0.029603465288021328,0.04741677702092564,0.5301542776998598,2025,"2021,2022,2023",2024,713
implied_vol_only,0.788218793828892,0.9200561009817672,0.9621318373071529,-0.011781206171108005,0.020056100981767133,0.012131837307152948,0.014656381486676029,0.15724916804586309,0.08501954638194252,0.1617342203525956,0.2249937374030511,0.028773417017821417,0.045475364443273436,0.5357643758765779,2025,"2021,2022,2023",2024,713
linear_ridge,0.788218793828892,0.9200561009817672,0.9607293127629734,-0.011781206171108005,0.020056100981767133,0.010729312762973398,0.014188873305282845,0.15719368161498629,0.08429070876448867,0.1622471474095395,0.2250431886709307,0.029656697849210198,0.04726108137116997,0.5273492286115007,2025,"2021,2022,2023",2024,713
ticker_fixed_effects,0.791023842917251,0.9172510518934082,0.9607293127629734,-0.008976157082749014,0.017251051893408142,0.010729312762973398,0.012318840579710185,0.15845515487925096,0.08742678460205049,0.16514256912233824,0.22279611091336415,0.029448470827922187,0.04608886716235115,0.5049088359046283,2025,"2021,2022,2023",2024,713
xgboost_lightgbm_proxy,0.7840112201963534,0.9158485273492286,0.9579242636746143,-0.015988779803646658,0.01584852734922859,0.007924263674614296,0.013253856942496514,0.16176692935824388,0.09329755477714084,0.16595988604460496,0.22604334725298586,0.03185926583808585,0.048108728428054894,0.4908835904628331,2025,"2021,2022,2023",2024,713
